EN,WGO_AUTH_WRONG_REGISTER,Fail user register,
EN,WGO_AUTH_WRONG_TOKEN,Invalid credentials,
EN,WGO_AUTH_WRONG_USER_DONT_EXIST,User don't exist,
EN,WGO_AUTH_WRONG_USER_NAME_EXIST,Username already exist,
EN,WGO_AUTH_WRONG_USER_PASSWORD,User or password invalid,
EN,WGO_CANCEL,Cancel,
EN,WGO_CHANGE,Change,
EN,WGO_CLOSE,Close,
EN,WGO_CONFIRM,Confirm,
EN,WGO_CONTACT_ADMIN_PAGE_ADDRESS_FIELD,Address,
EN,WGO_CONTACT_ADMIN_PAGE_CONTACT_CONTENT_FIELD,Content,
EN,WGO_CONTACT_ADMIN_PAGE_CONTACT_NAME_FIELD,Name,
EN,WGO_CONTACT_ADMIN_PAGE_CONTACT_TITLE_FIELD,Title,
EN,WGO_CONTACT_ADMIN_PAGE_EMAIL_FIELD,Email,
EN,WGO_CONTACT_ADMIN_PAGE_FAIL_SAVE,Edit contact settings fail,
EN,WGO_CONTACT_ADMIN_PAGE_MAP_FIELD,Map,
EN,WGO_CONTACT_ADMIN_PAGE_MAP_PREVIEW_FIELD,Map Preview,
EN,WGO_CONTACT_ADMIN_PAGE_MAP_TITLE_FIELD,Map,
EN,WGO_CONTACT_ADMIN_PAGE_PHONE_NUMBER_FIELD,Phone number,
EN,WGO_CONTACT_ADMIN_PAGE_SUCCESS_SAVE,Edit contact settings success,
EN,WGO_CONTACT_ADMIN_PAGE_TITLE,Contact,
EN,WGO_CONTACT_BODY,You want to put on contact with us?,
EN,WGO_CONTACT_BUTTON_SEND_LABEL,Send,
EN,WGO_CONTACT_EMAIL_FAIL_MESSAGE,Email send fail,
EN,WGO_CONTACT_EMAIL_SUBJECT,Subject,
EN,WGO_CONTACT_EMAIL_SUCCESS_MESSAGE,Email sended successfully,
EN,WGO_CONTACT_FIELD_EMAIL_LABEL,Email,
EN,WGO_CONTACT_FIELD_EMAIL_PLACEHOLDER,Email,
EN,WGO_CONTACT_FIELD_MESSAGE_LABEL,Message,
EN,WGO_CONTACT_FIELD_MESSAGE_PLACEHOLDER,Message body,
EN,WGO_CONTACT_FIELD_NAME_LABEL,Name,
EN,WGO_CONTACT_FIELD_NAME_PLACEHOLDER,Name,
EN,WGO_CONTACT_TITLE,Contact Me,
EN,WGO_CONTAIN,contain,
EN,WGO_CONTEXT_INVALID_PARAMS,Inalid Params,
EN,WGO_CONTINUE,Continue,
EN,WGO_COPY_CLIPBOARD_TL,Copy to clipboard,
EN,WGO_CREATE,Create,
EN,WGO_DELETE,Delete,
EN,WGO_DETAILS,Details,
EN,WGO_EDIT,Edit,
EN,WGO_EDIT_PROFILE,Edit profile,
EN,WGO_EMAIL_MEDIA_COLUMN_ATTACHMENTS,Attachments,
EN,WGO_EMAIL_MEDIA_COLUMN_BODY,Body,
EN,WGO_EMAIL_MEDIA_COLUMN_CONTENT_TYPE,Content type,
EN,WGO_EMAIL_MEDIA_COLUMN_DATE,Date,
EN,WGO_EMAIL_MEDIA_COLUMN_FILE_EXT,File ext,
EN,WGO_EMAIL_MEDIA_COLUMN_ID,Id,
EN,WGO_EMAIL_MEDIA_COLUMN_NAME,Name,
EN,WGO_EMAIL_MEDIA_COLUMN_SENDER_FORM,From,
EN,WGO_EMAIL_MEDIA_COLUMN_SENDER_TO,Sender to,
EN,WGO_EMAIL_MEDIA_COLUMN_SIZE,Size,
EN,WGO_EMAIL_MEDIA_COLUMN_SUBJECT,Subject,
EN,WGO_EMAIL_MEDIA_DETAILS_TITLE,Details of:,
EN,WGO_EMAIL_MEDIA_TAB_EMAIL_MEDIA_TITLE,Email media,
EN,WGO_EMAIL_MEDIA_TAB_EMAIL_TITLE,Email,
EN,WGO_EMAIL_MEDIA_TITLE,Emails media,
EN,WGO_EMAIL_MEDIA_TITLE_DIALOG,Email media,
EN,WGO_EMAIL_MEDIA_WRONG_EMAIL_DONT_EXIST,Email don't exist,
EN,WGO_EMPLOYEES_ADDED_EMPLOYEE_ERROR_MESSAGE,Send invite link fail,
EN,WGO_EMPLOYEES_ADDED_EMPLOYEE_MESSAGE,Invite link sended successfully,
EN,WGO_EMPLOYEES_ADD_EMPLOYEE_BTN,Add Employee,
EN,WGO_EMPLOYEES_ADD_EMPLOYEE_LABEL,Add Employee,
EN,WGO_EMPLOYEES_ADD_EMPLOYEE_MESSAGE_SUBTITLE,Are you sure you want to register as a company employee?,
EN,WGO_EMPLOYEES_ADD_EMPLOYEE_MESSAGE_TITLE,Confirm link,
EN,WGO_EMPLOYEES_CODE,Code,
EN,WGO_EMPLOYEES_CONFIRM_CREATE_USER_FAIL_MESSAGE,User creation fail,
EN,WGO_EMPLOYEES_CONFIRM_EMPLOYEE_LABEL,Confirm,
EN,WGO_EMPLOYEES_DELETE,Delete,
EN,WGO_EMPLOYEES_DELETE_EMPLOYEE_MESSAGE,Are you sure?,
EN,WGO_EMPLOYEES_DELETE_EMPLOYEE_TITLE,Delete employ,
EN,WGO_EMPLOYEES_EMAIL,Email,
EN,WGO_EMPLOYEES_EMAIL_ADDRESS_FIELD_NAME,Address,
EN,WGO_EMPLOYEES_EMAIL_NOT_SENDED_CONFIRM_CREATE_USER_MESSAGE,User don't exist, do you want to create it?,
EN,WGO_EMPLOYEES_EMAIL_NOT_SENDED_MESSAGE,Email sended fail,
EN,WGO_EMPLOYEES_EMAIL_SENDED_MESSAGE,Email message sended,
EN,WGO_EMPLOYEES_IMPORT_EMPLOYEES_BTN,Import employees,
EN,WGO_EMPLOYEES_INVALID_EMAIL,Invalid Email,
EN,WGO_EMPLOYEES_INVALID_TOKEN_EMPLOYEE,Invalid Token,
EN,WGO_EMPLOYEES_LAST_NAME,Last name,
EN,WGO_EMPLOYEES_MISSING_TOKEN_EMPLOYEE,Token is missing,
EN,WGO_EMPLOYEES_NAME,Name,
EN,WGO_EMPLOYEES_REGISTER_EMAIL_TITLE,Title,
EN,WGO_EMPLOYEES_SEND_DOCUMENT,Send document,
EN,WGO_EMPLOYEES_SEND_EMAIL_INVITATION_LINK,Send email link invite,
EN,WGO_EMPLOYEES_TITLE,Employees,
EN,WGO_EMPLOYEES_WIZARD_IMPORT_CONFIRMED_COLUMN,Confirmed,
EN,WGO_EMPLOYEES_WIZARD_IMPORT_CONFIRMED_CONFIRMED_VALUE,Confirmed,
EN,WGO_EMPLOYEES_WIZARD_IMPORT_CONFIRMED_UNCONFIRMED_VALUE,Unconfirmed,
EN,WGO_EMPLOYEES_WIZARD_IMPORT_CONFIRM_FAIL_ERROR_MESSAGE,Could not import employees,
EN,WGO_EMPLOYEES_WIZARD_IMPORT_CONFIRM_TABLE_TITLE,Employees to import,
EN,WGO_EMPLOYEES_WIZARD_IMPORT_CONFIRM_TITLE,Confirm employees,
EN,WGO_EMPLOYEES_WIZARD_IMPORT_INFO_TABLE_TITLE,Imported employees,
EN,WGO_EMPLOYEES_WIZARD_IMPORT_INFO_TITLE,Info,
EN,WGO_EMPLOYEES_WIZARD_IMPORT_TITLE,Upload files,
EN,WGO_EMPLOYEES_WIZARD_IMPORT_UPLOAD_TITLE,Pick Files,
EN,WGO_EMPLOYEES_WIZARD_IMPORT_UPLOAD_UPLOAD_LB,Attach files by draging & dropping or selecting,
EN,WGO_EMPLOYEES_WIZARD_SD_CONFIRM_FAIL_ERROR_MESSAGE,The invite link could not be confirmed,
EN,WGO_EMPLOYEES_WIZARD_SD_CONFIRM_FILES_TO_SEND,Files to send,
EN,WGO_EMPLOYEES_WIZARD_SD_CONFIRM_TITLE,Confirm sending,
EN,WGO_EMPLOYEES_WIZARD_SD_INFO_MESSAGE,The documents were successfully stored,
EN,WGO_EMPLOYEES_WIZARD_SD_INFO_TITLE,Info,
EN,WGO_EMPLOYEES_WIZARD_SD_TITLE,Send Document,
EN,WGO_EMPLOYEES_WIZARD_SD_UPLOAD_TITLE,Pick Files,
EN,WGO_EMPLOYEES_WIZARD_SD_UPLOAD_UPLOAD_LB,Attach files by draging & dropping or selecting,
EN,WGO_EMPLOYEES_WIZZARD_SD_TITLE,Send documents,
EN,WGO_EXPORT,Export,
EN,WGO_EXPORT_CSV_TL,Export CSV,
EN,WGO_EXPORT_EXCEL_TL,Export to Excel,
EN,WGO_FOOTER,Footer,
EN,WGO_GO_BACK,Go Back,
EN,WGO_HOME,Home,
EN,WGO_IMPORT,Import,
EN,WGO_LANGUAGE_ADD_SUCCESS_MSG,Language created successfully,
EN,WGO_LANGUAGE_COLUMN_CODE,Code,
EN,WGO_LANGUAGE_COLUMN_DEFAULT,Default,
EN,WGO_LANGUAGE_COLUMN_ENABLED,Enabled,
EN,WGO_LANGUAGE_COLUMN_ID,Id,
EN,WGO_LANGUAGE_EDIT_SUCCESS_MSG,Language edited successfully,
EN,WGO_LANGUAGE_TITLE,Languages,
EN,WGO_LANGUAGE_TITLE_DIALOG,Language,
EN,WGO_LANGUAGE_WRONG_LANGUAGE_CODE,Code already exist,
EN,WGO_LANGUAGE_WRONG_LANGUAGE_DONT_EXIST,Language don't exist,
EN,WGO_LANGUAGE_WRONG_LANGUAGE_POST,Language creation fail,
EN,WGO_LANGUAGE_WRONG_LANGUAGE_PUT,Language edition fail,
EN,WGO_LOGIN,Login,
EN,WGO_LOGOUT,Logout,
EN,WGO_MAP_CONTACT_EMAIL_LABEL,Email,
EN,WGO_MAP_CONTACT_NUMBER_LABEL,Phone number,
EN,WGO_MAP_CONTENT_TITLE,Map Section,
EN,WGO_MENU,Menu,
EN,WGO_NETWORK_ERROR,Network error,
EN,WGO_SAVE,Save,
EN,WGO_SEARCH,Search,
EN,WGO_SELECT_COLUMNS_TL,Select Columns,
EN,WGO_SEND,Send,
EN,WGO_SERVER_ERROR,Server error,
EN,WGO_SETTINGS_BOOLEAN_SETTING_FALSE,Disabled,
EN,WGO_SETTINGS_BOOLEAN_SETTING_TRUE,Enabled,
EN,WGO_SETTINGS_COLUMN_KEY,Key,
EN,WGO_SETTINGS_COLUMN_SETTING,Setting,
EN,WGO_SETTINGS_COLUMN_TYPE_SETTINGS,Type Setting,
EN,WGO_SETTINGS_COLUMN_VALUE,Value,
EN,WGO_SETTINGS_POP3,Pop3,
EN,WGO_SETTINGS_POP3_EMAIL_DELETE,Delete after sync,
EN,WGO_SETTINGS_POP3_EMAIL_EMAIL,Email,
EN,WGO_SETTINGS_POP3_EMAIL_HOST,Host,
EN,WGO_SETTINGS_POP3_EMAIL_LOAD_TIME,Sync time,
EN,WGO_SETTINGS_POP3_EMAIL_PASSWORD,Password,
EN,WGO_SETTINGS_POP3_EMAIL_PORT,Port,
EN,WGO_SETTINGS_POP3_EMAIL_TLS,TLS,
EN,WGO_SETTINGS_POP3_EMAIL_USER,User,
EN,WGO_SETTINGS_SET_SUCCESS_MSG,Setting seted successfully,
EN,WGO_SETTINGS_SMTP,Smtp,
EN,WGO_SETTINGS_SMTP_EMAIL_EMAIL,Email,
EN,WGO_SETTINGS_SMTP_EMAIL_HOST,Host,
EN,WGO_SETTINGS_SMTP_EMAIL_PASSWORD,Password,
EN,WGO_SETTINGS_SMTP_EMAIL_PORT,Port,
EN,WGO_SETTINGS_SMTP_EMAIL_TLS,TLS,
EN,WGO_SETTINGS_SMTP_EMAIL_USER,User,
EN,WGO_SETTINGS_TITLE,Settings,
EN,WGO_SETTINGS_TITLE_DIALOG,Setting,
EN,WGO_SETTINGS_WRONG_TYPE,Type setting don't exist,
EN,WGO_SHOW_FILTERS_TL,Show Filters,
EN,WGO_TITLE,Swisspay,
EN,WGO_TRANSLATION_ADD,Add,
EN,WGO_TRANSLATION_COLUMN_ID,Id,
EN,WGO_TRANSLATION_COLUMN_KEY,Key,
EN,WGO_TRANSLATION_COLUMN_VALUE,Value,
EN,WGO_TRANSLATION_DELETE,Delete,
EN,WGO_TRANSLATION_DELETE_MSG,Are you sure you want to delete the translation key selected?,
EN,WGO_TRANSLATION_DELETE_SUCCESS_MSG,Translation key deleted successfully,
EN,WGO_TRANSLATION_IMPORT_SUCCESS_MSG,Translations imported successfully,
EN,WGO_TRANSLATION_SET_SUCCESS_MSG,Translation seted successfully,
EN,WGO_TRANSLATION_TITLE,Translations,
EN,WGO_TRANSLATION_TITLE_DIALOG,Translation,
